PHCode_Pro,Pro_Name,Label,Prov,Name_2,PHCode_Pro_SS
PH166700000,SURIGAO DEL NORTE,SURIGAO DEL NORTE,Surigao Del Norte,SurigaoDelNorte,PH166700000_LH_LH1
PH166800000,SURIGAO DEL SUR,SURIGAO DEL SUR,Surigao Del Sur,SurigaoDelSur,PH166800000_LH_LH1
PH168500000,DINAGAT ISLANDS,DINAGAT ISLANDS,Dinagat Islands,DinagatIslands,PH168500000_LH_LH1
PH174000000,MARINDUQUE,MARINDUQUE,Marinduque,Marinduque,PH174000000_LH_LH1
PH175100000,OCCIDENTAL MINDORO,OCCIDENTAL MINDORO,Occidental Mindoro,OccidentalMindoro,PH175100000_LH_LH1
PH175200000,ORIENTAL MINDORO,ORIENTAL MINDORO,Oriental Mindoro,OrientalMindoro,PH175200000_LH_LH1
PH175300000,PALAWAN,PALAWAN,Palawan,Palawan,PH175300000_LH_LH1
PH175900000,ROMBLON,ROMBLON,Romblon,Romblon,PH175900000_LH_LH1
PH184500000,NEGROS OCCIDENTAL,NEGROS OCCIDENTAL,Negros Occidental,NegrosOccidental,PH184500000_LH_LH1
PH184600000,NEGROS ORIENTAL,NEGROS ORIENTAL,Negros Oriental,NegrosOriental,PH184600000_LH_LH1
